date,year,month,day,day_of_week,venue,city,state,country,song_count,show_url
2010-06-09,2010,6,9,Wednesday,The Windjammer,Isle of Palms,SC,US,13,https://discobiscuits.net/shows/2010-06-09-the-windjammer-isle-of-palms-sc
2010-06-10,2010,6,10,Thursday,House of Blues,Myrtle Beach,SC,US,13,https://discobiscuits.net/shows/2010-06-10-house-of-blues-myrtle-beach-sc
2010-06-11,2010,6,11,Friday,Bonnaroo Music Festival,Manchester,TN,US,3,https://discobiscuits.net/shows/2010-06-11-bonnaroo-music-festival-manchester-tn
2010-06-12,2010,6,12,Saturday,Bonnaroo Music Festival,Manchester,TN,US,14,https://discobiscuits.net/shows/2010-06-12-bonnaroo-music-festival-manchester-tn
2010-07-15,2010,7,15,Thursday,Indian Lookout Country Club,Mariaville,NY,US,8,https://discobiscuits.net/shows/2010-07-15-indian-lookout-country-club-mariaville-ny
2010-07-16,2010,7,16,Friday,Indian Lookout Country Club,Mariaville,NY,US,13,https://discobiscuits.net/shows/2010-07-16-indian-lookout-country-club-mariaville-ny
2010-07-17,2010,7,17,Saturday,Indian Lookout Country Club,Mariaville,NY,US,15,https://discobiscuits.net/shows/2010-07-17-indian-lookout-country-club-mariaville-ny
2010-08-25,2010,8,25,Wednesday,Bottle & Cork,Dewey Beach,DE,US,11,https://discobiscuits.net/shows/2010-08-25-bottle-cork-dewey-beach-de
2010-08-26,2010,8,26,Thursday,Lincoln Theater,Raleigh,NC,US,14,https://discobiscuits.net/shows/2010-08-26-lincoln-theater-raleigh-nc
2010-08-27,2010,8,27,Friday,Suwannee Music Park,Live Oak,FL,US,7,https://discobiscuits.net/shows/2010-08-27-suwannee-music-park-live-oak-florida
2010-08-28,2010,8,28,Saturday,Verizon Wireless Amphitheatre At Encore Park,Alpharetta,GA,US,7,https://discobiscuits.net/shows/2010-08-28-verizon-wireless-amphitheatre-at-encore-park-alpharetta-ga
2010-08-29,2010,8,29,Sunday,The Tabernacle,Atlanta,GA,US,13,https://discobiscuits.net/shows/2010-08-29-the-tabernacle-atlanta-ga
2010-09-01,2010,9,1,Wednesday,Buster's Billiards & Backroom,Lexington,KY,US,16,https://discobiscuits.net/shows/2010-09-01-buster-s-billiards-backroom-lexington-ky
2010-09-02,2010,9,2,Thursday,House of Blues,Cleveland,OH,US,14,https://discobiscuits.net/shows/2010-09-02-house-of-blues-cleveland-oh
2010-09-03,2010,9,3,Friday,Congress Theater,Chicago,IL,US,10,https://discobiscuits.net/shows/2010-09-03-congress-theater-chicago-il
2010-09-04,2010,9,4,Saturday,Apache Pass,Rockdale,TX,US,8,https://discobiscuits.net/shows/2010-09-04-apache-pass-rockdale-tx
2010-09-05,2010,9,5,Sunday,Union Park,Chicago,IL,US,8,https://discobiscuits.net/shows/2010-09-05-union-park-chicago-il
2010-09-07,2010,9,7,Tuesday,The State Theater,State College,PA,US,14,https://discobiscuits.net/shows/2010-09-07-the-state-theater-state-college-pa
2010-09-08,2010,9,8,Wednesday,Town Ballroom,Buffalo,NY,US,13,https://discobiscuits.net/shows/2010-09-08-town-ballroom-buffalo-ny
2010-09-09,2010,9,9,Thursday,Town Ballroom,Buffalo,NY,US,12,https://discobiscuits.net/shows/2010-09-09-town-ballroom-buffalo-ny
2010-09-10,2010,9,10,Friday,Mountain Park,Holyoke,MA,US,13,https://discobiscuits.net/shows/2010-09-10-mountain-park-holyoke-ma
2010-09-11,2010,9,11,Saturday,Bank of America Pavilion,Boston,MA,US,14,https://discobiscuits.net/shows/2010-09-11-bank-of-america-pavilion-boston-ma
2010-09-18,2010,9,18,Saturday,Mishawaka Amphitheater,Bellvue,CO,US,11,https://discobiscuits.net/shows/2010-09-18-mishawaka-amphitheater-bellvue-co
2010-10-25,2010,10,25,Monday,Diamond Riggs Studios,Philadelphia,PA,US,12,https://discobiscuits.net/shows/2010-10-25-diamond-riggs-studios-philadelphia-pa
2010-10-27,2010,10,27,Wednesday,Rams Head Live,Baltimore,MD,US,13,https://discobiscuits.net/shows/2010-10-27-rams-head-live-baltimore-md
2010-10-28,2010,10,28,Thursday,NorVa Theater,Norfolk,VA,US,13,https://discobiscuits.net/shows/2010-10-28-norva-theater-norfolk-va
2010-10-29,2010,10,29,Friday,Hampton Coliseum,Hampton,VA,US,6,https://discobiscuits.net/shows/2010-10-29-hampton-coliseum-hampton-va
