date,year,month,day,day_of_week,venue,city,state,country,song_count,show_url
1995-02-11,1995,2,11,Saturday,Unknown Venue,Philadelphia,PA,US,7,https://discobiscuits.net/shows/1995-02-11-unknown-venue-philadelphia-pa
1995-04-01,1995,4,1,Saturday,Unknown Venue,Philadelphia,PA,US,14,https://discobiscuits.net/shows/1995-04-01-unknown-venue-philadelphia-pa
1995-09-16,1995,9,16,Saturday,"Zeta Psi, University Of Pennsylvania",Philadelphia,PA,US,16,https://discobiscuits.net/shows/1995-09-16-zeta-psi-university-of-pennsylvania-philadelphia-pa
1995-10-23,1995,10,23,Monday,Unknown Location,,,US,6,https://discobiscuits.net/shows/1995-10-23-unknown-location
1995-11-09,1995,11,9,Thursday,Unknown Location,,,US,26,https://discobiscuits.net/shows/1995-11-09-unknown-location
1995-12-01,1995,12,1,Friday,4000 Pine Street,Philadelphia,PA,US,4,https://discobiscuits.net/shows/1995-12-01-4000-pine-street-philadelphia-pa-2
1995-12-01,1995,12,1,Friday,4000 Pine Street,Philadelphia,PA,US,9,https://discobiscuits.net/shows/1995-12-01-4000-pine-street-philadelphia-pa
1995-12-02,1995,12,2,Saturday,Blarney Stone,Philadelphia,PA,US,22,https://discobiscuits.net/shows/1995-12-02-blarney-stone-philadelphia-pa
1995-12-09,1995,12,9,Saturday,Blarney Stone,Philadelphia,PA,US,8,https://discobiscuits.net/shows/1995-12-09-blarney-stone-philadelphia-pa
1995-12-10,1995,12,10,Sunday,Unknown Venue,Philadelphia,PA,US,10,https://discobiscuits.net/shows/1995-12-10-unknown-venue-philadelphia-pa
1995-12-11,1995,12,11,Monday,Blarney Stone,Philadelphia,PA,US,2,https://discobiscuits.net/shows/1995-12-11-blarney-stone-philadelphia-pa
1995-12-31,1995,12,31,Sunday,Sam Adams' Brewhouse,Philadelphia,PA,US,4,https://discobiscuits.net/shows/1995-12-31-sam-adams-brewhouse-philadelphia-pa
1996-02-08,1996,2,8,Thursday,Sam Adams' Brewhouse,Philadelphia,PA,US,11,https://discobiscuits.net/shows/1996-02-08-sam-adams-brewhouse-philadelphia-pa
1996-02-13,1996,2,13,Tuesday,"Campus Grille, Temple University",Philadelphia,PA,US,27,https://discobiscuits.net/shows/1996-02-13-campus-grille-temple-university-philadelphia-pa
1996-03-02,1996,3,2,Saturday,Sam Adams' Brewhouse,Philadelphia,PA,US,10,https://discobiscuits.net/shows/1996-03-02-sam-adams-brewhouse-philadelphia-pa
1996-03-04,1996,3,4,Monday,J.C. Dobb's,Philadelphia,PA,US,9,https://discobiscuits.net/shows/1996-03-04-j-c-dobb-s-philadelphia-pa
1996-03-21,1996,3,21,Thursday,Trocadero,Philadelphia,PA,US,8,https://discobiscuits.net/shows/1996-03-21-trocadero-philadelphia-pa
1996-03-23,1996,3,23,Saturday,Blarney Stone,Philadelphia,PA,US,0,https://discobiscuits.net/shows/1996-03-23-blarney-stone-philadelphia-pa
1996-03-30,1996,3,30,Saturday,"Zeta Psi, University Of Pennsylvania",Philadelphia,PA,US,21,https://discobiscuits.net/shows/1996-03-30-zeta-psi-university-of-pennsylvania-philadelphia-pa
1996-04-18,1996,4,18,Thursday,"Penn Rocks, Univerisity Of Pennsylvania",Philadelphia,PA,US,7,https://discobiscuits.net/shows/1996-04-18-penn-rocks-univerisity-of-pennsylvania-philadelphia-pa
1996-04-19,1996,4,19,Friday,"Zeta Psi, University Of Pennsylvania",Philadelphia,PA,US,0,https://discobiscuits.net/shows/1996-04-19-zeta-psi-university-of-pennsylvania-philadelphia-pa
1996-04-20,1996,4,20,Saturday,"Alpha Delta Pi, University Of Pennsylvania",Philadelphia,PA,US,0,https://discobiscuits.net/shows/1996-04-20-alpha-delta-pi-university-of-pennsylvania-philadelphia-pa
1996-04-25,1996,4,25,Thursday,Middle East,Philadelphia,PA,US,0,https://discobiscuits.net/shows/1996-04-25-middle-east-philadelphia-pa
1996-05-10,1996,5,10,Friday,Silk City Diner,Philadelphia,PA,US,6,https://discobiscuits.net/shows/1996-05-10-silk-city-diner-philadelphia-pa
1996-05-18,1996,5,18,Saturday,Blarney Stone,Philadelphia,PA,US,16,https://discobiscuits.net/shows/1996-05-18-blarney-stone-philadelphia-pa
1996-05-25,1996,5,25,Saturday,Nate's Farm,Canton,MA,US,15,https://discobiscuits.net/shows/1996-05-25-nate-s-farm-canton-ma
1996-05-30,1996,5,30,Thursday,Doc Watson's,Philadelphia,PA,US,10,https://discobiscuits.net/shows/1996-05-30-doc-watson-s-philadelphia-pa
1996-06-05,1996,6,5,Wednesday,Downtime,New York,NY,US,16,https://discobiscuits.net/shows/1996-06-05-downtime-new-york-ny
1996-07-04,1996,7,4,Thursday,Doc Watson's,Philadelphia,PA,US,9,https://discobiscuits.net/shows/1996-07-04-doc-watson-s-philadelphia-pa
1996-07-05,1996,7,5,Friday,Downtime,New York,NY,US,9,https://discobiscuits.net/shows/1996-07-05-downtime-new-york-ny
1996-07-06,1996,7,6,Saturday,Sam Adams' Brewhouse,Philadelphia,PA,US,11,https://discobiscuits.net/shows/1996-07-06-sam-adams-brewhouse-philadelphia-pa
1996-08-07,1996,8,7,Wednesday,Wetlands Preserve,New York,NY,US,13,https://discobiscuits.net/shows/1996-08-07-wetlands-preserve-new-york-ny
1996-08-14,1996,8,14,Wednesday,Grog and Tankard,Washington,DC,US,2,https://discobiscuits.net/shows/1996-08-14-grog-and-tankard-washington-dc
1996-09-06,1996,9,6,Friday,"Phi Sigma Delta Sigma, Penn State",State College,PA,US,18,https://discobiscuits.net/shows/1996-09-06-phi-sigma-delta-sigma-penn-state-state-college-pa
1996-09-12,1996,9,12,Thursday,"Fraternity House, Penn State",State College,PA,US,18,https://discobiscuits.net/shows/1996-09-12-fraternity-house-penn-state-state-college-pa
1996-09-21,1996,9,21,Saturday,Middle East,Philadelphia,PA,US,14,https://discobiscuits.net/shows/1996-09-21-middle-east-philadelphia-pa
1996-10-21,1996,10,21,Monday,Downtime,New York,NY,US,2,https://discobiscuits.net/shows/1996-10-21-downtime-new-york-ny
1996-11-26,1996,11,26,Tuesday,Wetlands Preserve,New York,NY,US,4,https://discobiscuits.net/shows/1996-11-26-wetlands-preserve-new-york-ny
1996-12-06,1996,12,6,Friday,"Irvine Auditorium, University of Pennsylvania",Philadelphia,PA,US,2,https://discobiscuits.net/shows/1996-12-06-irvine-auditorium-university-of-pennsylvania-philadelphia-pa
1996-12-14,1996,12,14,Saturday,Lion's Den,New York,NY,US,18,https://discobiscuits.net/shows/1996-12-14-lion-s-den-new-york-ny
1996-12-27,1996,12,27,Friday,New Music Cafe,New York,NY,US,9,https://discobiscuits.net/shows/1996-12-27-new-music-cafe-new-york-ny
1996-12-28,1996,12,28,Saturday,Middle East,Philadelphia,PA,US,0,https://discobiscuits.net/shows/1996-12-28-middle-east-philadelphia-pa
1997-01-17,1997,1,17,Friday,Blarney Stone,Philadelphia,PA,US,17,https://discobiscuits.net/shows/1997-01-17-blarney-stone-philadelphia-pa
1997-01-30,1997,1,30,Thursday,Wetlands Preserve,New York,NY,US,22,https://discobiscuits.net/shows/1997-01-30-wetlands-preserve-new-york-ny
1997-02-01,1997,2,1,Saturday,Cabaloosa,New Paltz,NY,US,0,https://discobiscuits.net/shows/1997-02-01-cabaloosa-new-paltz-ny
1997-02-04,1997,2,4,Tuesday,"Slade Hall, University Of Vermont",Burlington,VT,US,0,https://discobiscuits.net/shows/1997-02-04-slade-hall-university-of-vermont-burlington-vt
1997-02-05,1997,2,5,Wednesday,Club Metronome,Burlington,VT,US,12,https://discobiscuits.net/shows/1997-02-05-club-metronome-burlington-vt
1997-02-06,1997,2,6,Thursday,Valentine's,Albany,NY,US,7,https://discobiscuits.net/shows/1997-02-06-valentine-s-albany-ny
1997-02-08,1997,2,8,Saturday,The Middle East,Boston,MA,US,0,https://discobiscuits.net/shows/1997-02-08-the-middle-east-boston-ma
1997-02-08,1997,2,8,Saturday,Middle East,Cambridge,MA,US,6,https://discobiscuits.net/shows/1997-02-08-middle-east-cambridge-ma
1997-02-13,1997,2,13,Thursday,R.T.'s,Oaklyn,NJ,US,11,https://discobiscuits.net/shows/1997-02-13-r-t-s-oaklyn-nj
1997-02-21,1997,2,21,Friday,Middle East,Philadelphia,PA,US,0,https://discobiscuits.net/shows/1997-02-21-middle-east-philadelphia-pa
1997-02-22,1997,2,22,Saturday,Grog and Tankard,Washington,DC,US,7,https://discobiscuits.net/shows/1997-02-22-grog-and-tankard-washington-dc
1997-02-28,1997,2,28,Friday,"Phi Sigma Delta Sigma, Penn State",State College,PA,US,23,https://discobiscuits.net/shows/1997-02-28-phi-sigma-delta-sigma-penn-state-state-college-pa
1997-03-01,1997,3,1,Saturday,Cafe 210 West,State College,PA,US,11,https://discobiscuits.net/shows/1997-03-01-cafe-210-west-state-college-pa
1997-03-07,1997,3,7,Friday,Grape Street Pub,Philadelphia,PA,US,9,https://discobiscuits.net/shows/1997-03-07-grape-street-pub-philadelphia-pa
1997-03-20,1997,3,20,Thursday,Lion's Den,New York,NY,US,11,https://discobiscuits.net/shows/1997-03-20-lion-s-den-new-york-ny
1997-03-21,1997,3,21,Friday,Cabaloosa,New Paltz,NY,US,8,https://discobiscuits.net/shows/1997-03-21-cabaloosa-new-paltz-ny
1997-03-22,1997,3,22,Saturday,Valentine's,Albany,NY,US,6,https://discobiscuits.net/shows/1997-03-22-valentine-s-albany-ny
1997-03-23,1997,3,23,Sunday,Stone Coast Brewing Company,Portland,ME,US,13,https://discobiscuits.net/shows/1997-03-23-stone-coast-brewing-company-portland-me
1997-03-25,1997,3,25,Tuesday,P.B. Finnian's,Plattsburgh,NY,US,25,https://discobiscuits.net/shows/1997-03-25-p-b-finnian-s-plattsburgh-ny
1997-03-26,1997,3,26,Wednesday,Club Toast,Burlington,VT,US,9,https://discobiscuits.net/shows/1997-03-26-club-toast-burlington-vt
1997-03-27,1997,3,27,Thursday,Ocean Mist,Matunick,RI,US,10,https://discobiscuits.net/shows/1997-03-27-ocean-mist-matunick-ri
1997-03-28,1997,3,28,Friday,7 Willow Street,Port Chester,NY,US,9,https://discobiscuits.net/shows/1997-03-28-7-willow-street-port-chester-ny
1997-03-29,1997,3,29,Saturday,Cavanaugh's,Philadelphia,PA,US,21,https://discobiscuits.net/shows/1997-03-29-cavanaugh-s-philadelphia-pa
1997-04-10,1997,4,10,Thursday,"Husky Blues, University Of Connecticut",Hartford,CT,US,0,https://discobiscuits.net/shows/1997-04-10-husky-blues-university-of-connecticut-hartford-ct
1997-04-11,1997,4,11,Friday,"The Levee, Fairfield University",Fairfield,CT,US,0,https://discobiscuits.net/shows/1997-04-11-the-levee-fairfield-university-fairfield-ct
1997-04-12,1997,4,12,Saturday,Iron Horse Music Hall,Northampton,MA,US,7,https://discobiscuits.net/shows/1997-04-12-iron-horse-music-hall-northampton-ma
1997-04-19,1997,4,19,Saturday,"Spring Fling, Frat Party, University Of Pennsylvania",Philadelphia,PA,US,16,https://discobiscuits.net/shows/1997-04-19-spring-fling-frat-party-university-of-pennsylvania-philadelphia-pa
1997-04-21,1997,4,21,Monday,"Pi Kappa Alpha, University Of Pennsylvania",Philadelphia,PA,US,6,https://discobiscuits.net/shows/1997-04-21-pi-kappa-alpha-university-of-pennsylvania-philadelphia-pa
1997-04-25,1997,4,25,Friday,Wetlands Preserve,New York,NY,US,8,https://discobiscuits.net/shows/1997-04-25-wetlands-preserve-new-york-ny
1997-04-26,1997,4,26,Saturday,Electric Factory,Philadelphia,PA,US,7,https://discobiscuits.net/shows/1997-04-26-electric-factory-philadelphia-pa
1997-05-09,1997,5,9,Friday,Cafe 210 West,State College,PA,US,0,https://discobiscuits.net/shows/1997-05-09-cafe-210-west-state-college-pa
1997-05-10,1997,5,10,Saturday,Blue Terrapin,Elizabethtown,PA,US,24,https://discobiscuits.net/shows/1997-05-10-blue-terrapin-elizabethtown-pa
1997-05-13,1997,5,13,Tuesday,Fundos Del Mundos,Washington,DC,US,23,https://discobiscuits.net/shows/1997-05-13-fundos-del-mundos-washington-dc
1997-05-14,1997,5,14,Wednesday,Theater Of The Living Arts,Philadelphia,PA,US,0,https://discobiscuits.net/shows/1997-05-14-theater-of-the-living-arts-philadelphia-pa
1997-05-16,1997,5,16,Friday,Pontiac Grille,Philadelphia,PA,US,15,https://discobiscuits.net/shows/1997-05-16-pontiac-grille-philadelphia-pa
1997-05-17,1997,5,17,Saturday,Middle East,Philadelphia,PA,US,14,https://discobiscuits.net/shows/1997-05-17-middle-east-philadelphia-pa
1997-05-18,1997,5,18,Sunday,"Grassroots Festival, Woodbury Ski and Racquet Club",Woodbury,CT,US,0,https://discobiscuits.net/shows/1997-05-18-grassroots-festival-woodbury-ski-and-racquet-club-woodbury-ct
1997-05-21,1997,5,21,Wednesday,P.B. Finnian's,Plattsburgh,NY,US,0,https://discobiscuits.net/shows/1997-05-21-p-b-finnian-s-plattsburgh-ny
1997-05-21,1997,5,21,Wednesday,Metronome,Burlington,VT,US,10,https://discobiscuits.net/shows/1997-05-21-metronome-burlington-vt
1997-05-22,1997,5,22,Thursday,Metronome,Burlington,VT,US,0,https://discobiscuits.net/shows/1997-05-22-metronome-burlington-vt
1997-05-23,1997,5,23,Friday,Sunday River Brewing Company,Bethel,ME,US,0,https://discobiscuits.net/shows/1997-05-23-sunday-river-brewing-company-bethel-me
1997-05-24,1997,5,24,Saturday,Stone Coast Brewing Company,Portland,ME,US,0,https://discobiscuits.net/shows/1997-05-24-stone-coast-brewing-company-portland-me
1997-05-25,1997,5,25,Sunday,Peir Patio Club,Old Orchard Beach,ME,US,0,https://discobiscuits.net/shows/1997-05-25-peir-patio-club-old-orchard-beach-me
1997-05-26,1997,5,26,Monday,Stone Coast,Laconia,NH,US,0,https://discobiscuits.net/shows/1997-05-26-stone-coast-laconia-nh
1997-05-28,1997,5,28,Wednesday,Muddy River Steakhouse,Portsmouth,NH,US,0,https://discobiscuits.net/shows/1997-05-28-muddy-river-steakhouse-portsmouth-nh
1997-05-29,1997,5,29,Thursday,Harper's Ferry,Cambridge,MA,US,0,https://discobiscuits.net/shows/1997-05-29-harper-s-ferry-cambridge-ma
1997-05-30,1997,5,30,Friday,Rhinecliff Hotel,Rhinecliff,NY,US,0,https://discobiscuits.net/shows/1997-05-30-rhinecliff-hotel-rhinecliff-ny
1997-05-31,1997,5,31,Saturday,Wetlands Preserve,New York,NY,US,12,https://discobiscuits.net/shows/1997-05-31-wetlands-preserve-new-york-ny
1997-06-05,1997,6,5,Thursday,Grog and Tankard,Washington,DC,US,11,https://discobiscuits.net/shows/1997-06-05-grog-and-tankard-washington-dc
1997-06-07,1997,6,7,Saturday,Cafe 210 West,State College,PA,US,13,https://discobiscuits.net/shows/1997-06-07-cafe-210-west-state-college-pa
1997-06-20,1997,6,20,Friday,Wilmer's Park,Brandywine,MD,US,8,https://discobiscuits.net/shows/1997-06-20-wilmer-s-park-brandywine-md
1997-06-21,1997,6,21,Saturday,Hempsplash,Modena,NY,US,0,https://discobiscuits.net/shows/1997-06-21-hempsplash-modena-ny
1997-06-25,1997,6,25,Wednesday,The Funnel,Baltimore,MD,US,10,https://discobiscuits.net/shows/1997-06-25-the-funnel-baltimore-md
1997-06-27,1997,6,27,Friday,Khyber Pass,Philadelphia,PA,US,0,https://discobiscuits.net/shows/1997-06-27-khyber-pass-philadelphia-pa
1997-06-28,1997,6,28,Saturday,"E Stage, Further Festival, Sony Entertainment Center",Camden,NJ,US,3,https://discobiscuits.net/shows/1997-06-28-e-stage-further-festival-sony-entertainment-center-camden-nj
1997-07-02,1997,7,2,Wednesday,The Saint,Asbury Park,NJ,US,0,https://discobiscuits.net/shows/1997-07-02-the-saint-asbury-park-nj
1997-07-04,1997,7,4,Friday,"Independence Day Festival, Manicore Field",Doylestown,PA,US,7,https://discobiscuits.net/shows/1997-07-04-independence-day-festival-manicore-field-doylestown-pa
1997-07-05,1997,7,5,Saturday,15 North,Westchester,PA,US,9,https://discobiscuits.net/shows/1997-07-05-15-north-westchester-pa
1997-07-06,1997,7,6,Sunday,Philly Street Festival,Philadelphia,PA,US,0,https://discobiscuits.net/shows/1997-07-06-philly-street-festival-philadelphia-pa
1997-07-09,1997,7,9,Wednesday,Cafe 210 West,State College,PA,US,0,https://discobiscuits.net/shows/1997-07-09-cafe-210-west-state-college-pa
1997-07-10,1997,7,10,Thursday,Havana's,New Hope,PA,US,16,https://discobiscuits.net/shows/1997-07-10-havana-s-new-hope-pa
1997-07-11,1997,7,11,Friday,Blue Terrapin,Elizabethtown,PA,US,12,https://discobiscuits.net/shows/1997-07-11-blue-terrapin-elizabethtown-pa
1997-07-12,1997,7,12,Saturday,Wetlands Preserve,New York,NY,US,21,https://discobiscuits.net/shows/1997-07-12-wetlands-preserve-new-york-ny
1997-07-13,1997,7,13,Sunday,Sturtz Court,Reading,PA,US,17,https://discobiscuits.net/shows/1997-07-13-sturtz-court-reading-pa
1997-07-15,1997,7,15,Tuesday,"Hard Rock Cafe, Taj Mahal",Atlantic City,NJ,US,16,https://discobiscuits.net/shows/1997-07-15-hard-rock-cafe-taj-mahal-atlantic-city-nj
1997-07-17,1997,7,17,Thursday,Ocean Mist,Matunick,RI,US,0,https://discobiscuits.net/shows/1997-07-17-ocean-mist-matunick-ri
1997-07-19,1997,7,19,Saturday,Unknown Venue,Philadelphia,PA,US,0,https://discobiscuits.net/shows/1997-07-19-unknown-venue-philadelphia-pa
1997-07-20,1997,7,20,Sunday,Silk City Diner,Philadelphia,PA,US,14,https://discobiscuits.net/shows/1997-07-20-silk-city-diner-philadelphia-pa
1997-07-23,1997,7,23,Wednesday,Chicken Box,Nantucket,RI,US,0,https://discobiscuits.net/shows/1997-07-23-chicken-box-nantucket-ri
1997-07-24,1997,7,24,Thursday,Chicken Box,Nantucket,RI,US,0,https://discobiscuits.net/shows/1997-07-24-chicken-box-nantucket-ri
1997-07-25,1997,7,25,Friday,Hard Hat,Dalton,MA,US,0,https://discobiscuits.net/shows/1997-07-25-hard-hat-dalton-ma
1997-07-26,1997,7,26,Saturday,Lion's Den,New York,NY,US,15,https://discobiscuits.net/shows/1997-07-26-lion-s-den-new-york-ny
1997-07-27,1997,7,27,Sunday,Bellstock Festival,East Jewitt,NY,US,0,https://discobiscuits.net/shows/1997-07-27-bellstock-festival-east-jewitt-ny
1997-08-02,1997,8,2,Saturday,Summerwinds,Copiague,NY,US,3,https://discobiscuits.net/shows/1997-08-02-summerwinds-copiague-ny
1997-08-07,1997,8,7,Thursday,Hot Tin Roof,Martha's Vineyard,MA,US,0,https://discobiscuits.net/shows/1997-08-07-hot-tin-roof-martha-s-vineyard-ma
1997-08-09,1997,8,9,Saturday,Mountain Top Jamboree,Unknown,NY,US,0,https://discobiscuits.net/shows/1997-08-09-mountain-top-jamboree-unknown-ny
1997-09-03,1997,9,3,Wednesday,Cabaloosa,New Paltz,NY,US,0,https://discobiscuits.net/shows/1997-09-03-cabaloosa-new-paltz-ny
1997-09-05,1997,9,5,Friday,Bogie's,Albany,NY,US,4,https://discobiscuits.net/shows/1997-09-05-bogie-s-albany-ny
1997-09-06,1997,9,6,Saturday,Westfield State College,Westfield,MA,US,11,https://discobiscuits.net/shows/1997-09-06-westfield-state-college-westfield-ma
1997-09-07,1997,9,7,Sunday,Johnson State College,Johnson,VT,US,16,https://discobiscuits.net/shows/1997-09-07-johnson-state-college-johnson-vt
1997-09-08,1997,9,8,Monday,P.B. Finnian's,Plattsburgh,NY,US,9,https://discobiscuits.net/shows/1997-09-08-p-b-finnian-s-plattsburgh-ny
1997-09-08,1997,9,8,Monday,The Monopole,Plattsburgh,NY,US,9,https://discobiscuits.net/shows/1997-09-08-the-monopole-plattsburgh-ny
1997-09-09,1997,9,9,Tuesday,"Warren Ballroom, SUNY Plattsburgh",Plattsburgh,NY,US,14,https://discobiscuits.net/shows/1997-09-09-warren-ballroom-suny-plattsburgh-plattsburgh-ny
1997-09-10,1997,9,10,Wednesday,"Campus Pub, SUNY Binghamton",Binghamton,NY,US,13,https://discobiscuits.net/shows/1997-09-10-campus-pub-suny-binghamton-binghamton-ny
1997-09-11,1997,9,11,Thursday,Blue Terrapin,Elizabethtown,PA,US,17,https://discobiscuits.net/shows/1997-09-11-blue-terrapin-elizabethtown-pa
1997-09-12,1997,9,12,Friday,"Phi Kappa Alpha, Penn State",State College,PA,US,14,https://discobiscuits.net/shows/1997-09-12-phi-kappa-alpha-penn-state-state-college-pa
1997-09-14,1997,9,14,Sunday,"Youthfest '97, Wiggins Park",Camden,NJ,US,0,https://discobiscuits.net/shows/1997-09-14-youthfest-97-wiggins-park-camden-nj
1997-09-16,1997,9,16,Tuesday,East End Cafe,Newark,DE,US,15,https://discobiscuits.net/shows/1997-09-16-east-end-cafe-newark-de
1997-09-18,1997,9,18,Thursday,Court Tavern,New Brunswick,NJ,US,5,https://discobiscuits.net/shows/1997-09-18-court-tavern-new-brunswick-nj
1997-09-19,1997,9,19,Friday,"The Quad, University Of Pennsylvania",Philadelphia,PA,US,7,https://discobiscuits.net/shows/1997-09-19-the-quad-university-of-pennsylvania-philadelphia-pa
1997-09-19,1997,9,19,Friday,Khyber Pass,Philadelphia,PA,US,7,https://discobiscuits.net/shows/1997-09-19-khyber-pass-philadelphia-pa
1997-09-20,1997,9,20,Saturday,"Equinox Festival, Wilmer's Park",Brandywine,MD,US,6,https://discobiscuits.net/shows/1997-09-20-equinox-festival-wilmer-s-park-brandywine-md
1997-09-20,1997,9,20,Saturday,Bucknell University,Bucknell,PA,US,0,https://discobiscuits.net/shows/1997-09-20-bucknell-university-bucknell-pa
1997-09-24,1997,9,24,Wednesday,University Concert Hall,College Park,MD,US,7,https://discobiscuits.net/shows/1997-09-24-university-concert-hall-college-park-md
1997-09-26,1997,9,26,Friday,Cafe 210 West,State College,PA,US,0,https://discobiscuits.net/shows/1997-09-26-cafe-210-west-state-college-pa
1997-09-27,1997,9,27,Saturday,Wetlands Preserve,New York,NY,US,11,https://discobiscuits.net/shows/1997-09-27-wetlands-preserve-new-york-ny
1997-10-02,1997,10,2,Thursday,Blue Terrapin,Elizabethtown,PA,US,14,https://discobiscuits.net/shows/1997-10-02-blue-terrapin-elizabethtown-pa
1997-10-04,1997,10,4,Saturday,Denison University,Denison,OH,US,10,https://discobiscuits.net/shows/1997-10-04-denison-university-denison-oh
1997-10-05,1997,10,5,Sunday,Cafe 210 West,State College,PA,US,8,https://discobiscuits.net/shows/1997-10-05-cafe-210-west-state-college-pa
1997-10-07,1997,10,7,Tuesday,"The Underground, Brown University",Providence,RI,US,4,https://discobiscuits.net/shows/1997-10-07-the-underground-brown-university-providence-ri
1997-10-08,1997,10,8,Wednesday,Bull and Bier House,Plymouth,NH,US,0,https://discobiscuits.net/shows/1997-10-08-bull-and-bier-house-plymouth-nh
1997-10-11,1997,10,11,Saturday,Gold Rush,New York,NY,US,12,https://discobiscuits.net/shows/1997-10-11-gold-rush-new-york-ny
1997-10-13,1997,10,13,Monday,New Deal Roadhouse,Deal,NJ,US,16,https://discobiscuits.net/shows/1997-10-13-new-deal-roadhouse-deal-nj
1997-10-15,1997,10,15,Wednesday,The Bayou,Washington,DC,US,4,https://discobiscuits.net/shows/1997-10-15-the-bayou-washington-dc
1997-10-19,1997,10,19,Sunday,The George Washington University,Washington,DC,US,5,https://discobiscuits.net/shows/1997-10-19-the-george-washington-university-washington-dc
1997-10-20,1997,10,20,Monday,New Deal Roadhouse,Deal,NJ,US,15,https://discobiscuits.net/shows/1997-10-20-new-deal-roadhouse-deal-nj
1997-10-23,1997,10,23,Thursday,Cafe 210 West,State College,PA,US,19,https://discobiscuits.net/shows/1997-10-23-cafe-210-west-state-college-pa
1997-10-25,1997,10,25,Saturday,Khyber Pass,Philadelphia,PA,US,6,https://discobiscuits.net/shows/1997-10-25-khyber-pass-philadelphia-pa
1997-10-29,1997,10,29,Wednesday,Deer Park Tavern,Newark,DE,US,20,https://discobiscuits.net/shows/1997-10-29-deer-park-tavern-newark-de
1997-10-31,1997,10,31,Friday,"Phi Sigma Kappa, University Of Pennsylvania",Philadelphia,PA,US,6,https://discobiscuits.net/shows/1997-10-31-phi-sigma-kappa-university-of-pennsylvania-philadelphia-pa
1997-11-01,1997,11,1,Saturday,Crossroads,New York,NY,US,0,https://discobiscuits.net/shows/1997-11-01-crossroads-new-york-ny
1997-11-03,1997,11,3,Monday,New Deal Roadhouse,Deal,NJ,US,14,https://discobiscuits.net/shows/1997-11-03-new-deal-roadhouse-deal-nj
1997-11-05,1997,11,5,Wednesday,Crowbar,State College,PA,US,6,https://discobiscuits.net/shows/1997-11-05-crowbar-state-college-pa
1997-11-06,1997,11,6,Thursday,Harper's Ferry,Cambridge,MA,US,0,https://discobiscuits.net/shows/1997-11-06-harper-s-ferry-cambridge-ma
1997-11-07,1997,11,7,Friday,"The Underground, Brown University",Providence,RI,US,6,https://discobiscuits.net/shows/1997-11-07-the-underground-brown-university-providence-ri
1997-11-08,1997,11,8,Saturday,Tinker Street Cafe,Woodstock,NY,US,11,https://discobiscuits.net/shows/1997-11-08-tinker-street-cafe-woodstock-ny
1997-11-11,1997,11,11,Tuesday,P.B. Finnian's,Plattsburgh,NY,US,6,https://discobiscuits.net/shows/1997-11-11-p-b-finnian-s-plattsburgh-ny
1997-11-12,1997,11,12,Wednesday,Hungry Charlie's,Syracuse,NY,US,0,https://discobiscuits.net/shows/1997-11-12-hungry-charlie-s-syracuse-ny
1997-11-13,1997,11,13,Thursday,Valentine's,Albany,NY,US,0,https://discobiscuits.net/shows/1997-11-13-valentine-s-albany-ny
1997-11-14,1997,11,14,Friday,Cabaloosa,New Paltz,NY,US,0,https://discobiscuits.net/shows/1997-11-14-cabaloosa-new-paltz-ny
1997-11-15,1997,11,15,Saturday,Ocean Mist,Matunick,RI,US,7,https://discobiscuits.net/shows/1997-11-15-ocean-mist-matunick-ri
1997-11-17,1997,11,17,Monday,New Deal Roadhouse,Deal,NJ,US,13,https://discobiscuits.net/shows/1997-11-17-new-deal-roadhouse-deal-nj
1997-11-18,1997,11,18,Tuesday,Deer Park Tavern,Newark,DE,US,8,https://discobiscuits.net/shows/1997-11-18-deer-park-tavern-newark-de
1997-11-19,1997,11,19,Wednesday,University Concert Hall,College Park,MD,US,4,https://discobiscuits.net/shows/1997-11-19-university-concert-hall-college-park-md
1997-11-20,1997,11,20,Thursday,Blue Terrapin,Elizabethtown,PA,US,17,https://discobiscuits.net/shows/1997-11-20-blue-terrapin-elizabethtown-pa
1997-11-21,1997,11,21,Friday,"Alpha Chi Omega, Colgate University",Hamilton,NY,US,0,https://discobiscuits.net/shows/1997-11-21-alpha-chi-omega-colgate-university-hamilton-ny
1997-11-24,1997,11,24,Monday,New Deal Roadhouse,Deal,NJ,US,14,https://discobiscuits.net/shows/1997-11-24-new-deal-roadhouse-deal-nj
1997-11-30,1997,11,30,Sunday,Tammany Hall,Worcester,MA,US,12,https://discobiscuits.net/shows/1997-11-30-tammany-hall-worcester-ma
1997-12-02,1997,12,2,Tuesday,Theater Of The Living Arts,Philadelphia,PA,US,11,https://discobiscuits.net/shows/1997-12-02-theater-of-the-living-arts-philadelphia-pa
1997-12-04,1997,12,4,Thursday,East End Cafe,Newark,DE,US,13,https://discobiscuits.net/shows/1997-12-04-east-end-cafe-newark-de
1997-12-08,1997,12,8,Monday,Cafe 210 West,State College,PA,US,16,https://discobiscuits.net/shows/1997-12-08-cafe-210-west-state-college-pa
1997-12-10,1997,12,10,Wednesday,P.B. Finnian's,Plattsburgh,NY,US,12,https://discobiscuits.net/shows/1997-12-10-p-b-finnian-s-plattsburgh-ny
1997-12-12,1997,12,12,Friday,Bogie's,Albany,NY,US,9,https://discobiscuits.net/shows/1997-12-12-bogie-s-albany-ny
